,GrandSlam,Champion,Winner_Country,Amateur Era,Open Era,All-time,Years,Year,Runner-up,RunnerUp_Country,Score in the final
0,Australian Open,Novak Djokovic,SRB,0,9,9,"2008, 2011, 2012, 2013, 2015, 2016, 2019, 2020, 2021",2008,Jo-Wilfried Tsonga,FRA,"4–6, 6–4, 6–3, 7–6(7–2)"
1,Australian Open,Novak Djokovic,SRB,0,9,9,"2008, 2011, 2012, 2013, 2015, 2016, 2019, 2020, 2021",2011,Andy Murray,GBR,"6–4, 6–2, 6–3"
2,Australian Open,Novak Djokovic,SRB,0,9,9,"2008, 2011, 2012, 2013, 2015, 2016, 2019, 2020, 2021",2012,Rafael Nadal,ESP,"5–7, 6–4, 6–2, 6–7(5–7), 7–5"
3,Australian Open,Novak Djokovic,SRB,0,9,9,"2008, 2011, 2012, 2013, 2015, 2016, 2019, 2020, 2021",2013,Andy Murray,GBR,"6–7(2–7), 7–6(7–3), 6–3, 6–2"
4,Australian Open,Novak Djokovic,SRB,0,9,9,"2008, 2011, 2012, 2013, 2015, 2016, 2019, 2020, 2021",2015,Andy Murray,GBR,"7–6(7–5), 6–7(4–7), 6–3, 6–0"
5,Australian Open,Novak Djokovic,SRB,0,9,9,"2008, 2011, 2012, 2013, 2015, 2016, 2019, 2020, 2021",2016,Andy Murray,GBR,"6–1, 7–5, 7–6(7–3)"
6,Australian Open,Novak Djokovic,SRB,0,9,9,"2008, 2011, 2012, 2013, 2015, 2016, 2019, 2020, 2021",2019,Rafael Nadal,ESP,"6–3, 6–2, 6–3"
7,Australian Open,Novak Djokovic,SRB,0,9,9,"2008, 2011, 2012, 2013, 2015, 2016, 2019, 2020, 2021",2020,Dominic Thiem,AUT,"6–4, 4–6, 2–6, 6–3, 6–4"
8,Australian Open,Novak Djokovic,SRB,0,9,9,"2008, 2011, 2012, 2013, 2015, 2016, 2019, 2020, 2021",2021,Daniil Medvedev,RUS,"7–5, 6–2, 6–2"
9,French Open,Novak Djokovic,SRB,0,2,2,"2016, 2021",2016,Andy Murray,GBR,"3–6, 6–1, 6–2, 6–4"
10,French Open,Novak Djokovic,SRB,0,2,2,"2016, 2021",2021,Stefanos Tsitsipas,GRE,"6–7(6–8), 2–6, 6–3, 6–2, 6–4"
11,US Open,Novak Djokovic,SRB,0,3,3,"2011, 2015, 2018",2011,Rafael Nadal,ESP,"6–2, 6–4, 6–7(3–7), 6–1"
12,US Open,Novak Djokovic,SRB,0,3,3,"2011, 2015, 2018",2015,Roger Federer,SUI,"6–4, 5–7, 6–4, 6–4"
13,US Open,Novak Djokovic,SRB,0,3,3,"2011, 2015, 2018",2018,Juan Martín del Potro,ARG,"6–3, 7–6(7–4), 6–3"
14,Wimbledon,Novak Djokovic,SRB,0,7,7,"2011, 2014, 2015, 2018, 2019, 2021, 2022",2011,Rafael Nadal,ESP,"6–4, 6–1, 1–6, 6–3"
15,Wimbledon,Novak Djokovic,SRB,0,7,7,"2011, 2014, 2015, 2018, 2019, 2021, 2022",2014,Roger Federer,SUI,"6–7(7–9), 6–4, 7–6(7–4), 5–7, 6–4"
